order_purchased_date,product_id,customer_id,order_id,revenue,qty,order_timestamp
2025-08-18,15374313,613469,NYK-30728651-6420194,1750.0,1.0,2025-08-18 00:17:00
2025-08-18,20320322,40822915,NYK-30728490-6024861,2349.0,1.0,2025-08-18 00:10:25
2025-08-18,14554414,50090660,NYK-30729251-8236567,2700.0,1.0,2025-08-18 00:47:17
2025-08-18,13632293,6595069,NYK-30729151-7918619,799.0,1.0,2025-08-18 00:41:59
2025-08-18,16466716,9442384,NYK-30728612-6333617,1150.0,1.0,2025-08-18 00:15:34
2025-08-18,15615456,23518876,NYK-30729148-7913734,617.0,1.0,2025-08-18 00:41:54
2025-08-18,14813880,3346728,NYK-30728674-6499335,825.0,1.0,2025-08-18 00:18:20
2025-08-18,19660618,21854284,NYK-30728918-7145876,2250.0,1.0,2025-08-18 00:29:06
2025-08-18,12925568,5254283,NYK-30729172-7980442,1207.0,1.0,2025-08-18 00:43:01
2025-08-18,17496952,40950817,NYK-30728619-6348480,1999.0,1.0,2025-08-18 00:15:49
2025-08-18,17341038,40014213,NYK-30728449-5927088,1299.0,1.0,2025-08-18 00:08:47
2025-08-18,10938179,26540200,NYK-30729125-7818539,499.0,1.0,2025-08-18 00:40:19
2025-08-18,18963507,40498407,NYK-30729270-8310916,1374.0,1.0,2025-08-18 00:48:31
2025-08-18,19353871,50029684,NYK-30728950-7240784,2200.0,1.0,2025-08-18 00:30:41
2025-08-18,13847883,33394355,NYK-30728393-5777255,800.0,1.0,2025-08-18 00:06:17
2025-08-18,14349205,14153180,NYK-30728900-7078635,2310.0,1.0,2025-08-18 00:27:59
2025-08-18,21190249,2082868,NYK-30728578-6210660,1600.0,1.0,2025-08-18 00:13:31
2025-08-18,17862498,10984983,NYK-30729272-8324296,2600.0,1.0,2025-08-18 00:48:45
2025-08-18,17175380,4586551,NYK-30728579-6213422,1299.0,1.0,2025-08-18 00:13:34
2025-08-18,18649357,22501630,NYK-30728225-5434575,1700.0,1.0,2025-08-18 00:00:35
2025-08-18,8566662,31490849,NYK-30728868-6996043,5850.0,1.0,2025-08-18 00:26:36
2025-08-18,12143605,12986192,NYK-30728464-5963517,1043.0,1.0,2025-08-18 00:09:24
2025-08-18,4439195,24995372,NYK-30728523-6097703,399.0,1.0,2025-08-18 00:11:38
2025-08-18,14537912,28620492,NYK-30729127-7822525,1595.0,1.0,2025-08-18 00:40:23
2025-08-18,17466931,1322845,NYK-30728947-7233904,1899.0,1.0,2025-08-18 00:30:34
2025-08-18,13300633,45258225,NYK-30729439-8974382,760.0,1.0,2025-08-18 00:59:35
2025-08-18,20561398,19851578,NYK-30728444-5917128,2400.0,1.0,2025-08-18 00:08:37
2025-08-18,16347525,13344635,NYK-30728409-5811561,429.0,1.0,2025-08-18 00:06:52
2025-08-18,7494608,23518876,NYK-30729148-7913734,899.0,1.0,2025-08-18 00:41:54
2025-08-18,16300746,39978818,NYK-30728788-6768630,1373.0,1.0,2025-08-18 00:22:49
2025-08-18,19720271,20143004,NYK-30728385-5762729,2450.0,1.0,2025-08-18 00:06:03
2025-08-18,16343227,93432,NYK-30729391-8761243,1500.0,1.0,2025-08-18 00:56:01
2025-08-18,20490997,9959842,NYK-30729049-7526834,1200.0,1.0,2025-08-18 00:35:27
2025-08-18,14020082,1670565,NYK-30728276-5522308,500.0,1.0,2025-08-18 00:02:03
2025-08-18,15513418,18198515,NYK-30729214-8104731,949.0,1.0,2025-08-18 00:45:05
2025-08-18,18902453,1258531,NYK-30728778-6748787,900.0,1.0,2025-08-18 00:22:29
2025-08-18,14298716,981310,NYK-30728714-6597577,2067.0,1.0,2025-08-18 00:19:58
2025-08-18,16275934,49882516,NYK-30728673-6497394,779.0,1.0,2025-08-18 00:18:17
2025-08-18,20396863,36104003,NYK-30728681-6515990,799.0,1.0,2025-08-18 00:18:36
2025-08-18,16778080,21822663,NYK-30729269-8306060,943.0,1.0,2025-08-18 00:48:26
