product_id,cust_hit_time_ist,customer_id,session_id,product_brand,product_name,product_position,listing_position,nykaa_vertical,nykaa_platform,event_name,dn_tile_id,dn_page_section,date,_search_term
12208846,2025-08-18 02:02:46.344000,2108189.0,00981c08-650c-49b4-a888-2363970ce6ba-1755460779414,KALKI FASHION,Capulet Olive Green Saree In Sequins With Embroidery with Unstitched Blouse,,,nykaafashion,Android,product_add_to_cart,,,2025-08-18,green kalki saree
17614694,2025-08-18 01:49:57.481830,2240462.0,00B8CD5F-B5FC-48B9-9F7F-E3A133C08632~1755461957.237791,Nykd by Nykaa,Body Adapt All Day Comfort Padded Non Wired T-Shirt Bra NYB403 Tan (32B),,,nykaafashion,ios,product_add_to_cart,,,2025-08-18,
13113648,2025-08-18 01:57:32.389629,6824116.0,018ACD00-81D1-46B2-AC2E-EAE557403DBA~1755461701.5501518,MINI WESST,Brown Solid Handheld Bag,,,nykaafashion,ios,product_add_to_cart,,,2025-08-18,bags for women
17318760,2025-08-18 00:17:21.633000,,0235ab32-97ba-4d44-8c70-bb64a6b45f40-1755456059958,Stylum,Red Embroidered Silk Straight Kurta Pant and Dupatta (Set of 3) (2XL),,,nykaafashion,Android,product_add_to_cart,,,2025-08-18,
19524551,2025-08-18 00:03:13.488000,50088599.0,044eed05-2e0e-43d3-bbdf-3b0262301a3f-1755452581221,The Indian Garage Co,Men Slim Fit Multi Striped Full Sleeves Cutaway Collar Casual Shirt - White (2XL),,,nykaafashion,Android,product_add_to_cart,,,2025-08-18,
17860394,2025-08-18 00:12:12.982911,,04726C8D-B775-43D4-ABF8-20F3A1805043~1755451750.432282,The Souled Store,Womens Maroon Oversized Sweater (M),,,nykaafashion,ios,product_add_to_cart,,,2025-08-18,sweaters for women
10139443,2025-08-18 01:56:41.593000,20161297.0,056e12be-e65d-47e9-b180-5cd4649154f3-1755462298635,De Moza,Womens Printed Polyester Gold Skirt (S),,,nykaafashion,Android,product_add_to_cart,,,2025-08-18,ethnic long skirts for women
18864875,2025-08-18 00:01:11.118000,32281328.0,0584bc19-2d85-4639-99e9-47e7e1dba467-1755455377587,STYLEBAAZI,Women White Printed Kurta with Pant (Set of 2) (L),,,nykaafashion,Android,product_add_to_cart,,,2025-08-18,
5567641,2025-08-18 01:01:34.685068,12707440.0,05BFFA66-0F68-4F1D-BBCC-E58974C369F0~1755459004.062704,Nykd by Nykaa,Everyday Shaping Tummy Tucker Boyshorts-NYSH03-Sand (M),,,nykaafashion,ios,product_add_to_cart,,,2025-08-18,tummy tucker for women
19602880,2025-08-18 00:54:05.897000,3028729.0,05c55aaf-8993-4250-bf1e-6a36715bacac-1755458451243,Basil Leaf,Bottle Multi-Color Lehenga with Blouse and Dupatta (Set of 3) (5XL),,,nykaafashion,Android,product_add_to_cart,,,2025-08-18,lehenga
21901724,2025-08-18 02:23:49.759000,,06ae48be-48c4-4027-9204-8b95ab5060e7~1755462661332,Flat n Heels,Women Black Pump Heels (EURO 36),,,nykaafashion,dweb,product_add_to_cart,,,2025-08-18,
17404526,2025-08-18 00:41:32.415000,31700370.0,0765f29f-90c9-4b79-826b-b511255940a9-1755455240729,Slumber Jill,Multi-Color Cafe Creme Snuggle Fit T-Shirt with Pant (Set of 2) (M),,,nykaafashion,Android,product_add_to_cart,,,2025-08-18,
20877132,2025-08-18 01:05:36.297000,50050656.0,07e1accf-2cd6-4b6b-a79e-418e80673865-1755457549342,Outzidr,Street Black Striped Ribbed Tank (XS),,,nykaafashion,Android,product_add_to_cart,,,2025-08-18,
18976822,2025-08-18 00:46:18.511098,3161787.0,08388BC7-74CB-449B-9C9C-5729A35AE77E~1755457597.3603091,RAREISM,Jantuda Light Pink Regular Top (L),,,nykaafashion,ios,product_add_to_cart,,,2025-08-18,
18707928,2025-08-18 04:50:47.824271,31910439.0,086E4354-B2FC-411C-A1FF-92EB7E645B6F~1755472393.0749469,Cider,Round Neckline Solid Pocket Zipper Jumpsuit With Belt (S),,,nykaafashion,ios,product_add_to_cart,,,2025-08-18,cider
12242359,2025-08-18 03:25:53.454000,8438662.0,08bf0d0a-00fd-4409-acbe-9259ca8d6f4e-1755467374976,Nykd by Nykaa,Easy Breezy Slip On Bra - NYB165 - Navy Blue (XL),,,nykaafashion,Android,product_add_to_cart,,,2025-08-18,
14018012,2025-08-18 01:56:44.990755,13354506.0,0923E615-FDED-4D46-80E3-3190632E63EB~1755460489.814443,KAFTANIZE,Mahari Dark Blue Embroidered Co-Ord (Set of 2) (L),,,nykaafashion,ios,product_add_to_cart,,,2025-08-18,
8999644,2025-08-18 00:34:34.327000,27753518.0,09894049-1871-44ba-80b5-2bc36a01eb85-1755454438725,Miss Chase,Women Mustard Halter Neck Sleeveless Solid Embellished Regular Jumpsuit (S),,,nykaafashion,Android,product_add_to_cart,,,2025-08-18,
17535207,2025-08-18 00:56:19.723291,7902651.0,0AE2147F-D863-45C6-9E53-A80BFB5E5387~1755458256.7843761,RAREISM,Red Poutf Primary Flared Mini Dress with Belt (Set of 2) (L),,,nykaafashion,ios,product_add_to_cart,,,2025-08-18,rareism
18079278,2025-08-18 01:48:14.761879,12920364.0,0B288CB7-1D97-4F7B-8919-972146C3D62D~1755460938.857022,RAREISM,Ellery Brown Solid Regular Shirt (L),,,nykaafashion,ios,product_add_to_cart,,,2025-08-18,
19994094,2025-08-18 02:42:47.200645,12856322.0,0B54A2FE-39EE-4337-8F48-17194AA4D24C~1755464835.2289639,Zip by Payal & Zinal,Scarlet Haze Dress (S),,,nykaafashion,ios,product_add_to_cart,,,2025-08-18,
14533374,2025-08-18 03:00:02.852987,30294939.0,0B60E2CB-5E7A-48C8-BF3B-07094F482734~1755464745.496571,Lilpicks,Girls Denim Jeans - Medium Blue (13-14 Years),,,nykaafashion,ios,product_add_to_cart,,,2025-08-18,jeans for kids
